Model,Run,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
SVM,22,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,23,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,24,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,25,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,26,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,27,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,28,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,29,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,30,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,31,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,32,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,33,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,34,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,35,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,36,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,37,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,38,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,39,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,40,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,41,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,42,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.9155910961466517,0.7093788818195002,0.8024691358024691,0.9448140932389467,65,16,13,119
SVM,43,0.8685446009389671,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.9155910961466517,0.7189955659852817,0.8024691358024691,0.9448140932389467,65,16,12,120
SVM,44,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
SVM,45,0.863849765258216,0.8814814814814815,0.9015151515151515,0.8913857677902621,0.915497568275346,0.7093788818195002,0.8024691358024691,0.9447599314485644,65,16,13,119
